decision,label,kind,target,factor,overrides,overall_proxy,overall_delta,overall_weighted_error,august_proxy,august_weighted_error,august_bad_day_rate_max,max_month_delta,bad_day_rate_max,affected_validation_rows,affected_submission_dates,month_proxy_deltas,gate_failures,risk_failures
KEEP_CANDIDATE,redeem_day25_x0.96,single_day,redeem,0.96,{},5.943941424067706,0.008075962638557144,0.1419394340472856,6.288592593458027,0.1236960763498439,0.16129032258064516,-0.01917681442883623,0.2032520325203252,4,20140925,"{""2014-05"": -0.01917681442883623, ""2014-06"": 0.0, ""2014-07"": 0.024916194450163687, ""2014-08"": 0.026303955609074947}",,
KEEP_CANDIDATE,purchase_weekday0_x1.04,weekday,purchase,1.04,{},5.943828768947333,0.007963307518184415,0.14190100589683946,6.329594081574293,0.12246603170635595,0.16129032258064516,-0.0349080672033768,0.2032520325203252,17,"20140901,20140908,20140915,20140922,20140929","{""2014-05"": 0.013727730423538809, ""2014-06"": -0.015013049685800972, ""2014-07"": -0.0349080672033768, ""2014-08"": 0.06730544372534109}",,
KEEP_CANDIDATE,purchase_day7_x0.96,single_day,purchase,0.96,{},5.943533511087563,0.007668049658414056,0.14186507618802952,6.284033454198625,0.12383285052762595,0.16129032258064516,-0.015923507596797393,0.2032520325203252,4,20140907,"{""2014-05"": -0.015923507596797393, ""2014-06"": 0.003738333557106621, ""2014-07"": 0.02098579128814304, ""2014-08"": 0.02174481634967318}",,
KEEP_CANDIDATE,purchase_day10_x1.08,single_day,purchase,1.08,{},5.943511867813145,0.007646406383996052,0.141757709280381,6.273956516197333,0.12370657823787883,0.16129032258064516,-0.04397022937199235,0.2032520325203252,4,20140910,"{""2014-05"": 0.027970006168944295, ""2014-06"": 0.035827022524206775, ""2014-07"": -0.04397022937199235, ""2014-08"": 0.011667878348380789}",,
KEEP_CANDIDATE,redeem_weekday5_x0.96,weekday,redeem,0.96,{},5.943423472552886,0.007558011123736996,0.14247877947894788,6.300665222918452,0.12333389746603113,0.16129032258064516,-0.03836230392129547,0.2032520325203252,18,"20140906,20140913,20140920,20140927","{""2014-05"": -0.03836230392129547, ""2014-06"": -0.023868646904278812, ""2014-07"": 0.053072647088827196, ""2014-08"": 0.038376585069499924}",,
KEEP_CANDIDATE,redeem_day10_x1.03,single_day,redeem,1.03,{},5.943275421406966,0.007409959977817238,0.14187281887844735,6.279131157419604,0.12397991943099662,0.16129032258064516,-0.017848493372716767,0.2032520325203252,4,20140910,"{""2014-05"": -0.017848493372716767, ""2014-06"": 0.016101088745524628, ""2014-07"": 0.014825083960314345, ""2014-08"": 0.01684251957065186}",,
KEEP_CANDIDATE,purchase_day4_x0.94,single_day,purchase,0.94,{},5.943244247073746,0.007378785644597485,0.14198903016528328,6.238576654520744,0.1251965545179624,0.16129032258064516,-0.023711983328207786,0.2032520325203252,4,20140904,"{""2014-05"": 0.0, ""2014-06"": 0.032169471201316746, ""2014-07"": 0.0218573542393683, ""2014-08"": -0.023711983328207786}",,
KEEP_CANDIDATE,purchase_day31_x1.20,single_day,purchase,1.2,{},5.9430697494789975,0.007204288049848628,0.1438938183359477,6.290873393659644,0.1226487228519659,0.16129032258064516,0.0,0.2032520325203252,3,,"{""2014-05"": 0.0, ""2014-06"": 0.0, ""2014-07"": 0.0, ""2014-08"": 0.028584755810691753}",,
KEEP_CANDIDATE,redeem_day25_x0.92,single_day,redeem,0.92,{},5.94278021155315,0.006914750124001223,0.14206086567138265,6.314896549067104,0.12290695768157167,0.16129032258064516,-0.03835362885767157,0.2032520325203252,4,20140925,"{""2014-05"": -0.03835362885767157, ""2014-06"": 0.0, ""2014-07"": 0.013181661679912082, ""2014-08"": 0.05260791121815167}",,
KEEP_CANDIDATE,purchase_day31_x0.88,single_day,purchase,0.88,{},5.942700175308235,0.006834713879086074,0.14101589727790953,6.262288637848952,0.12558707832836,0.16129032258064516,0.0,0.2032520325203252,3,,"{""2014-05"": 0.027118380875084114, ""2014-06"": 0.0, ""2014-07"": 0.0, ""2014-08"": 0.0}",,
